link_href,img_src,other_img_src
http://www.arvixe.com/11246-194-1-209.html,https://affiliates.arvixe.com/media/banners/728x90TomatoCart.gif
http://www.arvixe.com/11246-297-1-325.html,https://affiliates.arvixe.com/media/banners/728X90.DotNetAge.gif
http://mediatemple.net/webhosting/vps/hosting/#a_aid=532f9bf458832&amp;a_bid=c326f622,https://affiliate.mediatemple.net/accounts/default1/banners/728x90-2.jpg,https://affiliate.mediatemple.net/scripts/imp.php?a_aid=532f9bf458832&amp;a_bid=c326f622
http://mediatemple.net/webhosting/vps/developer/#a_aid=532f9bf458832&amp;a_bid=452a6b06,https://affiliate.mediatemple.net/accounts/default1/banners/728x90-3.jpg,https://affiliate.mediatemple.net/scripts/imp.php?a_aid=532f9bf458832&amp;a_bid=452a6b06
http://mediatemple.net#a_aid=532f9bf458832&amp;a_bid=edce306f,https://affiliate.mediatemple.net/accounts/default1/banners/728x90.gif,https://affiliate.mediatemple.net/scripts/imp.php?a_aid=532f9bf458832&amp;a_bid=edce306f
http://mediatemple.net#a_aid=532f9bf458832&amp;a_bid=f7e335f2,https://affiliate.mediatemple.net/accounts/default1/banners/728x90-light.gif,https://affiliate.mediatemple.net/scripts/imp.php?a_aid=532f9bf458832&amp;a_bid=f7e335f2
http://mediatemple.net/webhosting/shared#a_aid=532f9bf458832&amp;a_bid=c150c311,https://affiliate.mediatemple.net/accounts/default1/banners/728x90-grid-light.gif,https://affiliate.mediatemple.net/scripts/imp.php?a_aid=532f9bf458832&amp;a_bid=c150c311
http://mediatemple.net/webhosting/shared#a_aid=532f9bf458832&amp;a_bid=1214d1c9,https://affiliate.mediatemple.net/accounts/default1/banners/728x90-grid-dark.gif,https://affiliate.mediatemple.net/scripts/imp.php?a_aid=532f9bf458832&amp;a_bid=1214d1c9
http://mediatemple.net/webhosting/vps/managed/#a_aid=532f9bf458832&amp;a_bid=64070ae1,https://affiliate.mediatemple.net/accounts/default1/banners/728x90-dv-dark.gif,https://affiliate.mediatemple.net/scripts/imp.php?a_aid=532f9bf458832&amp;a_bid=64070ae1
http://mediatemple.net/webhosting/vps/managed/#a_aid=532f9bf458832&amp;a_bid=39d73f81,https://affiliate.mediatemple.net/accounts/default1/banners/728x90-dv-light.gif,https://affiliate.mediatemple.net/scripts/imp.php?a_aid=532f9bf458832&amp;a_bid=39d73f81
http://mediatemple.net/webhosting/vps/developer/#a_aid=532f9bf458832&amp;a_bid=eb5383be,https://affiliate.mediatemple.net/accounts/default1/banners/728x90-dvd-dark.gif,https://affiliate.mediatemple.net/scripts/imp.php?a_aid=532f9bf458832&amp;a_bid=eb5383be
http://mediatemple.net/webhosting/vps/developer/#a_aid=532f9bf458832&amp;a_bid=76b1233e,https://affiliate.mediatemple.net/accounts/default1/banners/728x90-dvd-light-1.gif,https://affiliate.mediatemple.net/scripts/imp.php?a_aid=532f9bf458832&amp;a_bid=76b1233e
http://mediatemple.net/webhosting/wordpress/#a_aid=532f9bf458832&amp;a_bid=279eef92,https://affiliate.mediatemple.net/accounts/default1/banners/Wordpress-Hosting-728x90.png,https://affiliate.mediatemple.net/scripts/imp.php?a_aid=532f9bf458832&amp;a_bid=279eef92
